"Masasi",0.292337411461687,0.277531364846027,0.340336134453782,0.345136709995518,0.274751773049645
"Masasi Township Authority",0.0329094988780853,0.153855554197727,0.00818408255248488,0.255407271053843,0.186195142735407
"Mtwara Rural",0.144431209053008,0.2561517936555,0.254287403903016,0.336559475491726,0.267138026437135
"Mtwara Urban",0.349465744814582,0.240577889447236,0.3375,0.325884543761639,0.385665529010239
"Newala",0.242336471156167,0.26555023923445,0.390250399573788,0.222317351598174,0.196144174350377
"Tandahimba",0.227882037533512,0.237236084452975,0.310008136696501,0.352966282543747,0.319377990430622
"Nanyumbu",0.210579176431202,0.248005319148936,0.432332095848802,0.43011583011583,0.401727115716753
"Lindi Rural",0.228441490292111,0.312399355877617,0.218415007656968,0.337853773584906,0.330445295184364
"Lindi Urban",0.608031674208145,0.523809523809524,0.488702049395691,0.576687116564417,0.479194630872483
"Kilwa",0.236343366778149,0.359369270260359,0.389562660786476,0.381456707543664,0.454326923076923
"Liwale",0.131108462455304,0.184921763869132,0.152867770578354,0.265324384787472,0.195553539019964
"Ruangwa",0.267054714784633,0.273384763741562,0.284743991640543,0.455987055016181,0.541707879986812
"Nachingwea",0.341732827062478,0.467110883307705,0.531938948558508,0.54896204655064,0.445956160241875
