Region_Nam,District_N,Ward_Name,Vil_Mtaa_N,progenitor_vill
Lindi,Lindi Rural,Nyangamara,Nyangamara A,Nyangamara B
Mtwara,Mtwara Rural,Mnima,Kilimahewa,Mnima
Mtwara,Mtwara Urban,Mitengo,Mnaida,Kilimahewa
Mtwara,Mtwara Urban,Mitengo,Mnazi Mmoja,Kilimahewa
Mtwara,Newala,Kitangari,Nia moja,Kitangari Sokoni
Mtwara,Newala,Mnyambe,Mnayope,Mnyambe
Mtwara,Tandahimba,Mkundi,Chitoholi Shuleni,Chitoholi Juu
Mtwara,Tandahimba,Naputa,Naputa Shuleni,Naputa sokoni
