"Species","Suspect","ID"
"Wildlife: Jackal","Yes",217
"Wildlife: Jackal","Yes",218
"Wildlife: Jackal","Yes",220
"Wildlife: Jackal","Yes",219
"Wildlife: Jackal","Yes",222
"Wildlife: Jackal","Yes",226
"Domestic dog","Yes",227
"Wildlife: Jackal","Yes",228
"Wildlife: Jackal","Yes",233
"Domestic dog","Yes",237
"Wildlife: Jackal","Yes",236
"Domestic dog","Yes",234
"Wildlife: Leopard","Yes",238
"Wildlife: Jackal","Yes",242
"Wildlife: Jackal","Yes",250
"Wildlife: Jackal","Yes",255
"Wildlife: Jackal","Yes",256
"Cat","Yes",259
"Wildlife: Jackal","Yes",262
"Domestic dog","Yes",261
"Domestic dog","Yes",263
"Wildlife: Jackal","Yes",267
"Domestic dog","Yes",272
"Wildlife: Jackal","Yes",281
"Wildlife: Jackal","Yes",284
"Wildlife: Jackal","Yes",286
"Domestic dog","Yes",300
"Wildlife: Jackal","Yes",298
"Domestic dog","Yes",297
"Domestic dog","Yes",304
"Domestic dog","Yes",305
"Domestic dog","Yes",308
"Wildlife: Jackal","Yes",309
"Domestic dog","Yes",311
"Domestic dog","Yes",314
"Domestic dog","Yes",312
"Wildlife: Jackal","Yes",313
"Domestic dog","Yes",321
"Domestic dog","Yes",320
"Domestic dog","Yes",317
"Domestic dog","Yes",318
"Domestic dog","Yes",319
"Domestic dog","Yes",316
"Domestic dog","Yes",315
"Domestic dog","Yes",325
"Domestic dog","Yes",327
"Domestic dog","Yes",338
"Domestic dog","Yes",339
"Domestic dog","Yes",340
"Domestic dog","Yes",296
"Domestic dog","Yes",295
"Domestic dog","Yes",293
"Domestic dog","Yes",301
"Domestic dog","Yes",299
"Domestic dog","Yes",302
"Domestic dog","Yes",303
"Domestic dog","Yes",307
"Domestic dog","Yes",306
"Wildlife: Jackal","Yes",310
"Domestic dog","Yes",324
"Domestic dog","Yes",322
"Domestic dog","Yes",323
"Domestic dog","Yes",326
"Domestic dog","Yes",329
"Domestic dog","Yes",330
"Domestic dog","Yes",328
"Domestic dog","Yes",332
"Wildlife: Jackal","Yes",331
"Domestic dog","Yes",336
"Domestic dog","Yes",335
"Domestic dog","Yes",333
"Domestic dog","Yes",337
"Wildlife: Jackal","Yes",334
"Cat","Yes",294
"Wildlife: Jackal","Yes",241
"Cat","Yes",291
"Wildlife: Jackal","Yes",246
"Cat","Yes",252
"Wildlife: Jackal","Yes",254
"Wildlife: Jackal","Yes",245
"Wildlife: Jackal","Yes",279
"Wildlife: Jackal","Yes",249
"Domestic dog","Yes",269
"Wildlife: Jackal","Yes",240
"Wildlife: Jackal","Yes",244
"Wildlife: Jackal","Yes",278
"Wildlife: Jackal","Yes",268
"Wildlife: Jackal","Yes",235
"Wildlife: Jackal","Yes",260
"Domestic dog","Yes",270
"Cat","Yes",251
"Wildlife: Jackal","Yes",243
"Domestic dog","Yes",283
"Domestic dog","Yes",277
"Wildlife: Jackal","Yes",280
"Wildlife: Hyena","Yes",285
"Domestic dog","Yes",273
"Domestic dog","Yes",288
"Domestic dog","Yes",232
"Wildlife: Leopard","Yes",265
"Wildlife: Honey badger","Yes",174
"Wildlife: Jackal","Yes",264
"Wildlife: Jackal","Yes",239
"Wildlife: Jackal","Yes",248
"Wildlife: Jackal","Yes",258
"Domestic dog","Yes",290
"Wildlife: Jackal","Yes",151
"Domestic dog","Yes",225
"Domestic dog","Yes",224
"Wildlife: Jackal","Yes",186
"Domestic dog","Yes",181
"Domestic dog","Yes",171
"Wildlife: Jackal","Yes",176
"Domestic dog","Yes",221
"Domestic dog","Yes",200
"Wildlife: Jackal","Yes",170
"Wildlife: Jackal","Yes",175
"Wildlife: Jackal","Yes",203
"Wildlife: Jackal","Yes",172
"Domestic dog","Yes",179
"Wildlife: Jackal","Yes",152
"Domestic dog","Yes",184
"Cat","Yes",185
"Wildlife: Jackal","Yes",187
"Wildlife: Jackal","Yes",188
"Wildlife: Jackal","Yes",189
"Domestic dog","Yes",197
"Domestic dog","Yes",198
"Domestic dog","Yes",199
"Domestic dog","Yes",202
"Wildlife: Jackal","Yes",204
"Domestic dog","Yes",223
"Wildlife: Jackal","Yes",253
"Wildlife: Jackal","Yes",257
"Domestic dog","Yes",266
"Domestic dog","Yes",275
"Wildlife: Jackal","Yes",276
"Wildlife: Jackal","Yes",282
"Domestic dog","Yes",287
"Domestic dog","Yes",289
"Domestic dog","Yes",292
"Domestic dog","Yes",247
"Wildlife: Jackal","Yes",386
"Domestic dog","Yes",390
"Domestic dog","Yes",387
"Domestic dog","Yes",388
"Domestic dog","Yes",391
"Domestic dog","Yes",389
"Domestic dog","Yes",395
"Wildlife: Jackal","Yes",394
"Domestic dog","Yes",392
"Wildlife: Jackal","Yes",397
"Domestic dog","Yes",400
"Domestic dog","Yes",399
"Domestic dog","Yes",398
"Domestic dog","Yes",406
"Domestic dog","Yes",401
"Wildlife: Jackal","Yes",404
"Domestic dog","Yes",407
"Domestic dog","Yes",414
"Wildlife: Jackal","Yes",403
"Wildlife: Hyena","Yes",409
"Domestic dog","Yes",410
"Domestic dog","Yes",412
"Cat","Yes",413
"Wildlife: Hyena","Yes",411
"Domestic dog","Yes",408
"Wildlife: Jackal","Yes",405
"Domestic dog","Yes",416
"Domestic dog","Yes",415
"Domestic dog","Yes",402
"Domestic dog","Yes",385
"Domestic dog","Yes",417
"Wildlife: Jackal","Yes",419
"Wildlife: Jackal","Yes",418
"Domestic dog","Yes",420
"Wildlife: Jackal","Yes",421
"Wildlife: Jackal","Yes",433
"Wildlife: Jackal","Yes",428
"Wildlife: Jackal","Yes",425
"Wildlife: Jackal","Yes",431
"Domestic dog","Yes",430
"Domestic dog","Yes",427
"Wildlife: Jackal","Yes",429
"Wildlife: Jackal","Yes",424
"Domestic dog","Yes",422
"Wildlife: Jackal","Yes",432
"Domestic dog","Yes",423
"Wildlife: Jackal","Yes",434
"Domestic dog","Yes",437
"Wildlife: Jackal","Yes",440
"Domestic dog","Yes",435
"Wildlife: Jackal","Yes",438
"Wildlife: Jackal","Yes",436
"Wildlife: Jackal","Yes",439
"Domestic dog","Yes",441
