Region,District,Ward,Village,shpDistrict,shpWard,shpVillage,Population,Notes
Morogoro,Morogoro,Tununguo,Kisanga stand,Morogoro,Tununguo,Kisanga stendi,1842,
Morogoro,Morogoro,Tununguo,Mlilingwa,Morogoro,Tununguo,Mlilingwa,1363,
Morogoro,Morogoro,Tununguo,Tununguo,Morogoro,Tununguo,Tununguo,2587,
Morogoro,Morogoro,Tununguo,Dete,Morogoro,Tununguo,Dete,1669,
Morogoro,Morogoro,Kinole,Tandai,Morogoro,Kinole,Tandai,4354,
Morogoro,Morogoro,Kinole,Amini,Morogoro,Kinole,Amini,1731,
Morogoro,Morogoro,Kinole,Kalundwa,Morogoro,Kinole,Kalundwa,2152,
Morogoro,Morogoro,Kinole,Rudewa,Morogoro,Kinole,Rudewa,1374,
Morogoro,Morogoro,Kinole,Lung'ala,Morogoro,Kinole,Lung'ala,1238,
Morogoro,Morogoro,Kinole,Mangala,Morogoro,Kinole,Mangala,1094,
Morogoro,Morogoro,Kiroka,Kiroka,Morogoro,Kiroka,Kiroka,5907,
Morogoro,Morogoro,Kiroka,Kiziwa,Morogoro,Kiroka,Kiziwa,3891,
Morogoro,Morogoro,Kiroka,Kikundi,Morogoro,Kiroka,Kikundi,5647,
Morogoro,Morogoro,Kiroka,Kungwe,Morogoro,Kiroka,Kungwe,4538,
Morogoro,Morogoro,Kiroka,Bamba,Morogoro,Kiroka,Bamba,1870,
Morogoro,Morogoro,Mkuyuni,Kibuko,Morogoro,Mkuyuni,Kibuko,1993,
Morogoro,Morogoro,Mkuyuni,Mwarazi,Morogoro,Mkuyuni,Mwarazi,1979,
Morogoro,Morogoro,Mkuyuni,Changa,Morogoro,Mkuyuni,Changa,2290,
Morogoro,Morogoro,Mkuyuni,Kivuma,Morogoro,Mkuyuni,Kivuma,1517,
Morogoro,Morogoro,Mkuyuni,Mkuyuni,Morogoro,Mkuyuni,Mkuyuni,2137,
Morogoro,Morogoro,Mkuyuni,Kibwaya,Morogoro,Mkuyuni,Kibwaya,2297,
Morogoro,Morogoro,Mkuyuni,Mfumbwe,Morogoro,Mkuyuni,Mfumbwe,2578,
Morogoro,Morogoro,Mkuyuni,Madam,Morogoro,Mkuyuni,Madam,1169,
Morogoro,Morogoro,Mkuyuni,Luholela,Morogoro,Mkuyuni,Luholela,1974,
Morogoro,Morogoro,Tegetero,Hewe,Morogoro,Tegetero,Hewe,1082,
Morogoro,Morogoro,Tegetero,Tegetero,Morogoro,Tegetero,Tegetero,1719,
Morogoro,Morogoro,Tegetero,Bagilo,Morogoro,Tegetero,Bagiro,1943,
Morogoro,Morogoro,Tegetero,Mifulu,Morogoro,Tegetero,Mifulu,1900,
Morogoro,Morogoro,Kibogwa,Kifulu,Morogoro,Kibogwa,Kifulu,706,
Morogoro,Morogoro,Kibogwa,Kibogwa,Morogoro,Kibogwa,Kibogwa,2098,
Morogoro,Morogoro,Kibogwa,Nyachiro,Morogoro,Kibogwa,Nyachiro,1095,
Morogoro,Morogoro,Kibogwa,Mambani,Morogoro,Kibogwa,Mambani,1549,
Morogoro,Morogoro,Kibogwa,Kirunga,Morogoro,Kibogwa,Kirunga,1394,
Morogoro,Morogoro,Kibogwa,Kaloni,Morogoro,Kibogwa,Nyachiro,1145,
Morogoro,Morogoro,Kibungo Juu,Nyingwa,Morogoro,Kibungo Juu,Nyingwa,1678,
Morogoro,Morogoro,Kibungo Juu,Lanzi,Morogoro,Kibungo Juu,Lanzi,1295,
Morogoro,Morogoro,Kibungo Juu,Kibungo,Morogoro,Kibungo Juu,Kibungo,1208,
Morogoro,Morogoro,Kibungo Juu,Dimilo,Morogoro,Kibungo Juu,Dimilo,1016,
Morogoro,Morogoro,Kibungo Juu,Lukenge,Morogoro,Kibungo Juu,Lukenge,1107,
Morogoro,Morogoro,Kisemu,Mtamba,Morogoro,Kisemu,Mtamba,4896,
Morogoro,Morogoro,Kisemu,Nige,Morogoro,Kisemu,Nige,1041,
Morogoro,Morogoro,Kisemu,Gozo,Morogoro,Kisemu,Gozo,1348,
Morogoro,Morogoro,Kisemu,Kibangile,Morogoro,Kisemu,Kibangile,1852,
Morogoro,Morogoro,Lundi,Vihengele,Morogoro,Lundi,Vihengele,1114,
Morogoro,Morogoro,Lundi,Tambuu,Morogoro,Lundi,Tambuu,1922,
Morogoro,Morogoro,Lundi,Lundi,Morogoro,Lundi,Lundi,2365,
Morogoro,Morogoro,Lundi,Ngong'olo,Morogoro,Lundi,Ngongolo,2239,
Morogoro,Morogoro,Lundi,Misaga,Morogoro,Lundi,Ngongolo,1034,
Morogoro,Morogoro,Lundi,Muungano,Morogoro,Lundi,Tambuui,1012,
Morogoro,Morogoro,Mtombozi,Baga,Morogoro,Mtombozi,Baga,1485,
Morogoro,Morogoro,Mtombozi,Lusange,Morogoro,Mtombozi,Lusange,1423,
Morogoro,Morogoro,Mtombozi,Ng'weme,Morogoro,Mtombozi,Ng'weme,686,
Morogoro,Morogoro,Mtombozi,Lugeni,Morogoro,Mtombozi,Lugeni,1035,
Morogoro,Morogoro,Mtombozi,Kibwege,Morogoro,Mtombozi,Kibwege,1208,
Morogoro,Morogoro,Mtombozi,Mtombozi,Morogoro,Mtombozi,Mtombozi,1636,
Morogoro,Morogoro,Mtombozi,Tandali,Morogoro,Mtombozi,Tandali,1742,
Morogoro,Morogoro,Tawa,Tawa,Morogoro,Tawa,Tawa,2089,
Morogoro,Morogoro,Tawa,Kisarawe,Morogoro,Tawa,Kisarawe,1532,
Morogoro,Morogoro,Tawa,Milawilila,Morogoro,Tawa,Milawilila,947,
Morogoro,Morogoro,Tawa,Logo,Morogoro,Tawa,Logo,1025,
Morogoro,Morogoro,Tawa,Kilemela,Morogoro,Tawa,Kilemela,973,
Morogoro,Morogoro,Tawa,Uponda,Morogoro,Tawa,Uponda,1243,
Morogoro,Morogoro,Tawa,Kifindike,Morogoro,Tawa,Kifindike,1610,
Morogoro,Morogoro,Tawa,Kitungwa,Morogoro,Tawa,Kitungwa,1600,
Morogoro,Morogoro,Matuli,Lulongwe,Morogoro,Matuli,Lulongwe,844,
Morogoro,Morogoro,Matuli,Diguzi,Morogoro,Matuli,Diguzi,1811,
Morogoro,Morogoro,Matuli,Matuli,Morogoro,Matuli,Matuli,1963,
Morogoro,Morogoro,Matuli,Kwamba,Morogoro,Matuli,Kwamba,1485,
Morogoro,Morogoro,Gwata,Gwataujembe,Morogoro,Gwata,Gwataujembe,2379,
Morogoro,Morogoro,Gwata,Kinonko,Morogoro,Gwata,Kinonko,1156,
Morogoro,Morogoro,Gwata,Maseyu,Morogoro,Gwata,Maseyu,3040,
Morogoro,Morogoro,Konde,Mlono,Morogoro,Konde,Mlono,1867,
Morogoro,Morogoro,Konde,Konde,Morogoro,Konde,Konde,1915,
Morogoro,Morogoro,Konde,Kiswira,Morogoro,Konde,Kiswira,1764,
Morogoro,Morogoro,Bungu,Bungu,Morogoro,Bungu,Bungu,1657,
Morogoro,Morogoro,Bungu,Balani,Morogoro,Bungu,Balani,1052,
Morogoro,Morogoro,Bungu,Mihange,Morogoro,Bungu,Mihange,742,
Morogoro,Morogoro,Bungu,Koloni,Morogoro,Bungu,Koloni,955,
Morogoro,Kilombero,Kidatu,Kidatu,Kilombero,Kidatu,Kidatu,7496,
Morogoro,Kilombero,Kidatu,Msolwa station,Kilombero,Kidatu,Msolwa station,8285,
Morogoro,Kilombero,Kidatu,Mkamba,Kilombero,Kidatu,Mkamba,16809,
Morogoro,Kilombero,Sanje,Sanje,Kilombero,Sanje,Sanje,4071,
Morogoro,Kilombero,Sanje,Msolwa ujamaa,Kilombero,Sanje,Msolwa ujamaa,5680,
Morogoro,Kilombero,Sanje,Miwangani,Kilombero,Sanje,Miwangani,1289,
Morogoro,Kilombero,Mkula,Msufini,Kilombero,Mkula,Msufini,1492,
Morogoro,Kilombero,Mkula,Mkula,Kilombero,Mkula,Mkula,1844,Includes population from Sonjo village
Morogoro,Kilombero,Mkula,Magombera,Kilombero,Mkula,Magombera,949,
Morogoro,Kilombero,Mkula,Katurukila,Kilombero,Mkula,Katurukila,2786,
Morogoro,Kilombero,Mkula,Sole,Kilombero,Mkula,Sole,2020,
Morogoro,Kilombero,Mang'ula,Mang'ula A,Kilombero,Mang'ula,Mang'ula A,3060,
Morogoro,Kilombero,Mang'ula,Kanyenja,Kilombero,Mang'ula,Kanyenja,1743,
Morogoro,Kilombero,Mang'ula,Msalise,Kilombero,Mang'ula,Msalise,1825,
Morogoro,Kilombero,Mang'ula,Mhelule,Kilombero,Mang'ula,Mhelule,2994,
Morogoro,Kilombero,Mang'ula,Mikoleko,Kilombero,Mang'ula,Mikoleko,2196,
Morogoro,Kilombero,Mang'ula,Mgudeni,Kilombero,Mang'ula,Mgudeni,8575,
Morogoro,Kilombero,Mang'ula,Mwaya,Kilombero,Mang'ula,Mwaya,10366,
Morogoro,Kilombero,Mang'ula,Mang'ula B,Kilombero,Mang'ula,Mang'ula B,5418,
Morogoro,Kilombero,Kisawasawa,Mpanga,Kilombero,Kisawasawa,Mpanga,2624,
Morogoro,Kilombero,Kisawasawa,Kanolo,Kilombero,Kisawasawa,Kanolo,1142,
Morogoro,Kilombero,Kisawasawa,Kisawasawa,Kilombero,Kisawasawa,Kisawasawa,3118,
Morogoro,Kilombero,Kisawasawa,Ichonde,Kilombero,Kisawasawa,Ichonde,2164,
Morogoro,Kilombero,Kiberege,Mkasu,Kilombero,Kiberege,Mkasu,3084,
Morogoro,Kilombero,Kiberege,Kiberege,Kilombero,Kiberege,Kiberege,10968,
Morogoro,Kilombero,Kiberege,Siginali,Kilombero,Kiberege,Siginali,6465,
Morogoro,Kilombero,Kiberege,Sagamaganga,Kilombero,Kiberege,Sagamaganga,1795,
Morogoro,Kilombero,Kibaoni,Kibaoni,Kilombero,Kibaoni,Kibaoni,11765,
Morogoro,Kilombero,Kibaoni,Kilama,Kilombero,Kibaoni,Kilama,1468,
Morogoro,Kilombero,Kibaoni,Lungongole,Kilombero,Kibaoni,Lungongole,2619,
Morogoro,Kilombero,Kibaoni,Kikwawila,Kilombero,Kibaoni,Kikwawila,4281,
Morogoro,Kilombero,Kibaoni,Mbasa,Kilombero,Kibaoni,Mbasa,8736,
Morogoro,Kilombero,Ifakara,Katindiuka,Kilombero,Ifakara,Katindiuka,3946,
Morogoro,Kilombero,Ifakara,Viwanja sitini,Kilombero,Ifakara,Viwanja sitini,17008,
Morogoro,Kilombero,Ifakara,Mlabani,Kilombero,Ifakara,Mlabani,10943,
