"","District","est_dogs","Pop2014","Gr","pred.dogs.per1000pop","pred.dogs.per1000pop.lwr","pred.dogs.per1000pop.upr","HumanDogRatio","HumanDogRatio.upr","HumanDogRatio.lwr","Dog_Hum_Ratio","Dog_Hum_Ratio.lwr","Dog_Hum_Ratio.upr","Numdogs","Numdogs.lwr","Numdogs.upr","MvCI","Ppop.lvst","Ppop.peas"
"rufiji","rufiji",3187.92455659885,221641.2074,1,31.1768440471159,9.79830659331216,99.2003664594063,32.075087474818,10.0806079220404,102.058451680064,0.0311768440471159,0.00979830659331216,0.0992003664594063,6910.07335752426,2171.70850381709,21986.8889965853,0,-4.3428059215206,-0.260066905418808
"kati","kati",NA,79430.3784,2,31.3469203663258,9.87174794389751,99.5395569292478,31.9010604012713,10.0462572955875,101.299182848178,0.0313469203663258,0.00987174794389751,0.0995395569292478,2489.89774637193,784.116674653201,7906.4646726585,0,-3.81671282562382,-0.691149177897272
"iringa urban","iringa urban",NA,163694.752,4,31.5387203766985,9.93741292211099,100.095557143083,31.7070568512609,9.99045340814211,100.629812591864,0.0315387203766985,0.00993741292211099,0.100095557143083,5162.723010461,1626.70234380655,16385.1174028389,1,-4.60517018598809,-1.58963528513792
"mbinga","mbinga",NA,367971.7932,2,32.0270327112287,10.4785321748024,97.8887889233832,31.2236231503707,10.2156744505511,95.4332136713469,0.0320270327112287,0.0104785321748024,0.0978887889233832,11785.0446576259,3855.80427446593,36020.3131943136,1,-6.21460809842219,-0.20334092401803
"mufindi","mufindi",NA,271172.1629,1,32.7800850053863,10.7231695447077,100.206750297133,30.5063272360545,9.97936762777753,93.2560094131437,0.0327800850053863,0.0107231695447077,0.100206750297133,8889.04655095647,2907.8250785818,27173.2812152539,1,-6.21460809842219,-0.154317360384357
"tandahimba","tandahimba",1293.19455192695,232087.0314,1,32.8706127118784,10.7524589765613,100.486519633284,30.4223109184281,9.95158359200227,93.0019823539757,0.0328706127118784,0.0107524589765613,0.100486519633284,7628.84292459897,2495.50628412039,23321.6180374066,1,-6.21460809842219,-0.148500008318444
"mafinga ","mafinga ",NA,56137.2032,4,33.2285978175988,10.8038637813128,102.198596286778,30.0945590749656,9.7848702069636,92.5594787421958,0.0332285978175988,0.0108038637813128,0.102198596286778,1865.36054773762,606.498696436676,5737.14336650565,1,-5.11599580975408,-1.04982212449868
"geita","geita",NA,856802.9971,3,33.5522838806088,11.0336710823482,102.029120245025,29.804230423132,9.80112342043605,90.6316666988391,0.0335522838806088,0.0110336710823482,0.102029120245025,28747.6973884556,9453.68245237153,87418.8560174136,1,-5.80914299031403,-0.446287102628419
"makambako ","makambako ",NA,99541.0643,3,34.142997747233,11.2315245174414,103.792169385133,29.2885823149797,9.63463819981813,89.0351081411168,0.034142997747233,0.0112315245174414,0.103792169385133,3398.63033415207,1117.99790417766,10331.5830066021,1,-5.80914299031403,-0.409473129505703
"chato","chato",NA,394921.3632,4,35.7118298671192,11.7522754756927,108.518115925367,28.0019255165842,9.21505125179052,85.0899046800174,0.0357118298671192,0.0117522754756927,0.108518115925367,14103.3645334892,4641.2246515625,42856.1222731415,1,-5.80914299031403,-0.3147107448397
"mbozi","mbozi",NA,473521.0451,3,36.4229192484939,11.9860509954165,110.681078120693,27.4552402891581,9.0349680088004,83.4303141528769,0.0364229192484939,0.0119860509954165,0.110681078120693,17247.0187881397,5675.64739397151,52409.8197845054,1,-5.80914299031403,-0.273121921120451
"mbeya rural","mbeya rural",NA,317653.8876,2,37.0076528639591,12.1772295155932,112.469455285009,27.0214380705532,8.89130295390782,82.1204855110497,0.0370076528639591,0.0121772295155932,0.112469455285009,11755.6248031879,3868.14429582565,35726.3597075373,1,-5.80914299031403,-0.239527030564734
"kyela","kyela",NA,230438.196,2,37.2386403397068,12.2716864394982,113.001284801956,26.8538268550509,8.84945690442883,81.4883924006856,0.0372386403397068,0.0122716864394982,0.113001284801956,8581.20510137486,2827.86528499562,26039.812215445,1,-5.52146091786225,-0.468404907882039
"mpanda urban","mpanda urban",NA,111296.64,4,38.0878819451277,12.4518337726164,116.503864214464,26.2550698261635,8.58340628220853,80.3094562825886,0.0380878819451277,0.0124518337726164,0.116503864214464,4239.05328520938,1385.84726073073,12966.4886340861,1,-4.96184512992682,-0.891598119283784
"ileje","ileje",NA,126952.4651,1,38.1473850726724,12.547127620945,115.980567971074,26.2141165926565,8.62213401342716,79.6995161132096,0.0381473850726724,0.012547127620945,0.115980567971074,4842.90457209471,1592.88878140326,14724.019007626,1,-5.80914299031403,-0.175544572514931
"korogwe urban","korogwe urban",NA,72467.9572,3,38.1567118617741,12.5782163105946,115.750486726494,26.2077089771934,8.63927252731898,79.5025284433773,0.0381567118617741,0.0125782163105946,0.115750486726494,2765.13896209178,911.517641248512,8388.20131797473,1,-5.52146091786225,-0.41703174447963
"tunduru","tunduru",NA,310329.4716,2,38.1689334141881,12.5540863069917,116.047272764515,26.1993173649511,8.61717794979306,79.6553389507189,0.0381689334141881,0.0125540863069917,0.116047272764515,11844.9449379606,3895.90297006952,36012.888837633,1,-5.80914299031403,-0.174353387144778
"sumbawanga urban","sumbawanga urban",NA,226912.1088,4,38.2157957457007,12.5821197660034,116.073211162972,26.1671903067072,8.61525230482301,79.4778637143463,0.0382157957457007,0.0125821197660034,0.116073211162972,8671.62680212701,2855.03532927799,26338.4171201776,1,-5.29831736654804,-0.601479992034122
"songea urban","songea urban",NA,219899.0144,4,38.2897046097085,12.570163856377,116.633442161135,26.1166809771221,8.57387025085353,79.5534578089598,0.0382897046097085,0.012570163856377,0.116633442161135,8419.86830534205,2764.16664286381,25647.578977313,1,-5.11599580975408,-0.750776293396582
"namtumbo","namtumbo",NA,205691.9439,1,39.062077935254,12.841380023283,118.822582140962,25.6002766073406,8.41590867646417,77.8732502415532,0.039062077935254,0.012841380023283,0.118822582140962,8034.75474327569,2641.36841934771,24440.8478997919,1,-5.80914299031403,-0.125563222975346
"mbeya urban","mbeya urban",NA,416717.7664,4,39.0693120711478,12.4569431561575,122.534969179676,25.595536419452,8.16093566346498,80.2765162740346,0.0390693120711478,0.0124569431561575,0.122534969179676,16280.8764610733,5191.02952820571,51062.4986624475,1,-4.3428059215206,-1.35867919408692
"nyang'hwale","nyang'hwale",NA,157352.688,3,41.8576507251038,13.8015716954632,126.946623390778,23.8904951108558,7.87732649589046,72.4555160865279,0.0418576507251038,0.0138015716954632,0.126946623390778,6586.41385496023,2171.71440490585,19975.3924230625,1,-5.29831736654804,-0.409473129505703
"njombe urban","njombe urban",NA,132840.4823,1,42.2441757744923,13.9291438190711,128.117737173684,23.6719022602831,7.80532049707012,71.7919215272117,0.0422441757744923,0.0139291438190711,0.128117737173684,5611.73668424954,1850.35418295147,17019.2219973368,1,-5.29831736654804,-0.390084006069862
"pangani","pangani",NA,56207.61,2,42.3903537051164,12.8910856433061,139.394162521755,23.5902726114621,7.17390156021729,77.5729855242459,0.0423903537051164,0.0128910856433061,0.139394162521755,2382.66046881924,724.57711431555,7835.01272329942,0,-3.24419363285249,-0.536143431750281
"ludewa","ludewa",NA,133218,0,42.542360465751,14.0127965525742,129.15711915231,23.505982955625,7.74250778093573,71.3633425168296,0.042542360465751,0.0140127965525742,0.12915711915231,5667.40817652642,1866.75673114083,17206.0530992324,1,-5.52146091786225,-0.187535123846842
"tabora urban","tabora urban",NA,236169.7596,2,43.0288341765683,13.7963143328812,134.201100810086,23.2402299327124,7.45150370573448,72.4831267157107,0.0430288341765683,0.0137963143328812,0.134201100810086,10162.1094233484,3258.27223936258,31694.2417163733,1,-4.26869794936688,-1.21739582465808
"bukoba rural","bukoba rural",NA,301400.7588,2,45.5059998874286,14.9915237659535,138.131123832624,21.9751242138129,7.23949803819532,66.7043601178855,0.0455059998874286,0.0149915237659535,0.138131123832624,13715.5428960237,4518.45663862662,41632.8255370498,1,-5.29831736654804,-0.233193887167711
"nyasa","nyasa",NA,155061.144,3,45.5332298125501,15.0002861458806,138.215697820663,21.9619825810023,7.23506819968828,66.6653949314576,0.0455332298125501,0.0150002861458806,0.138215697820663,7060.43470474892,2325.96153010759,21431.8842228302,1,-5.29831736654804,-0.231932057347289
"uvinza","uvinza",NA,407003.676,3,46.3736712978756,15.2758331646005,140.779057120558,21.5639601526612,7.10332929097285,65.4628778165339,0.0463736712978756,0.0152758331646005,0.140779057120558,18874.2546878511,6217.32025195513,57297.5937518811,1,-5.11599580975408,-0.346724613085564
"shinyanga urban","shinyanga urban",NA,167911.1964,2,46.3875488522638,14.8624611889784,144.781181337373,21.5575089596742,6.90697500022307,67.2836071552921,0.0463875488522638,0.0148624611889784,0.144781181337373,7788.98882584706,2495.57363968993,24310.3813745637,1,-4.13516655674236,-1.17118298150295
"bagamoyo","bagamoyo",NA,330724.966,3,46.5394445801902,13.9604311405119,155.147063871637,21.4871494282005,6.44549742061096,71.6310255704132,0.0465394445801902,0.0139604311405119,0.155147063871637,15391.7562264423,4617.06311429114,51311.007423947,0,-2.99573227355399,-0.54818141030976
"mkinga","mkinga",NA,122834.826,2,47.0784791423366,14.1236241517272,156.92737037925,21.2411279679747,6.37237466978051,70.8033567912318,0.0470784791423366,0.0141236241517272,0.15692737037925,5782.87679379354,1734.87291516681,19276.1462351728,0,-3.27016911925575,-0.293029678778376
"bukombe","bukombe",NA,229055.2942,1,47.4219853024078,15.6048266351622,144.112122652775,21.087265613682,6.93904150179933,64.082736923633,0.0474219853024078,0.0156048266351622,0.144112122652775,10862.2567949911,3574.36815585707,33009.6446520178,1,-4.96184512992682,-0.429245636773568
"sengerema","sengerema",NA,703412.7706,3,47.9604878490319,15.7897270271092,145.677527595501,20.8504968328879,6.86447674192187,63.3323171631219,0.047960487849032,0.0157897270271092,0.145677527595501,33736.0196372152,11106.6956351566,102471.43330011,1,-5.11599580975408,-0.275753501586507
"rungwe","rungwe",NA,345974.0557,1,48.4075211025693,15.9334820557435,147.066918021915,20.6579468897225,6.79962573126734,62.7609204630529,0.0484075211025693,0.0159334820557435,0.147066918021915,16747.7464022392,5512.57140824876,50881.3380873415,1,-5.11599580975408,-0.25618340539241
"dodoma urban","dodoma urban",NA,427558.6224,2,48.9780132957391,15.8958995605203,150.90972217486,20.4173246873408,6.62647830496495,62.9093053961943,0.0489780132957391,0.0158958995605203,0.15090972217486,20940.9718926151,6796.42891790481,64522.75291985,1,-4.3428059215206,-0.881889305156823
"mbogwe","mbogwe",NA,197819.8322,1,48.9820441058091,16.1137594665112,148.893909566523,20.4156445133208,6.71619143396337,62.0587642553728,0.0489820441058091,0.0161137594665112,0.148893909566523,9689.61974582415,3187.62119377641,29454.1682060516,1,-4.96184512992682,-0.360969868221613
"kalambo","kalambo",NA,207700,0,49.6066633997498,16.3168969489443,150.814279293178,20.158582163481,6.63067187461762,61.2861626281645,0.0496066633997498,0.0163168969489443,0.150814279293178,10303.303988128,3389.01949629572,31324.125809193,1,-5.11599580975408,-0.204567165741274
"kyerwa","kyerwa",NA,347221.7216,4,49.6643373242078,16.3352570891467,150.995260643403,20.1351725176965,6.62272442021636,61.2172795654628,0.0496643373242078,0.0163352570891467,0.150995260643403,17244.5367078346,5671.95608927211,52428.8343540432,1,-5.11599580975408,-0.202116184122134
"ngara","ngara",NA,320056,0,49.8369149721769,16.3901520608274,151.537220931592,20.0654474812151,6.59903879622701,61.0122466398594,0.0498369149721769,0.0163901520608274,0.151537220931592,15950.603658335,5245.76650798017,48500.3967824816,1,-5.11599580975408,-0.194799078305067
"muleba","muleba",NA,573214.879,3,50.9057156784809,16.7341660581994,154.856350757235,19.6441595343826,6.45759760649196,59.7579823531166,0.0509057156784809,0.0167341660581994,0.154856350757235,29179.9136530488,9592.27297221665,88765.96436169,1,-4.96184512992682,-0.279713902802604
"kilombero","kilombero",28127.9607855952,424358.352,2,51.8848480679938,17.0469308010562,157.919187357293,19.2734495182394,6.33235274784878,58.6615861629497,0.0518848480679938,0.0170469308010562,0.157919187357293,22017.7686199043,7234.00746139425,67014.3260961201,1,-4.96184512992682,-0.239527030564734
"missenyi","missenyi",NA,214972.2888,3,52.703616784007,17.3019378019624,160.541047708565,18.9740298867582,6.22893655095195,57.7969942700048,0.052703616784007,0.0173019378019624,0.160541047708565,11329.8171280961,3719.4371699631,34511.8764722602,1,-4.8283137373023,-0.318828801448618
"muheza","muheza",NA,208570.6661,1,52.9051111282295,17.3706808046436,161.130747549174,18.9017654187747,6.20614013904961,57.5682675449703,0.0529051111282295,0.0173706808046436,0.161130747549174,11034.4542681093,3623.01446603499,33607.1473455222,1,-4.96184512992682,-0.198450938723838
"mpanda rural","mpanda rural",NA,201277.2096,6,53.8501450835698,17.6543573168404,164.256227144297,18.5700521038171,6.08804924711628,56.6432400824984,0.0538501450835698,0.0176543573168404,0.164256227144297,10838.8069389761,3553.41977801497,33061.035059028,1,-4.71053070164592,-0.372514007968478
"singida urban","singida urban",NA,159537.0811,3,54.0065065408874,17.4128817427786,167.502587557658,18.5162874633063,5.97005702766103,57.4287481401358,0.0540065065408874,0.0174128817427786,0.167502587557658,8616.04041394123,2778.00032678238,26722.8738956459,1,-4.07454193492592,-0.901402119380404
"kibaha urban","kibaha urban",6722.03078850461,141658.02,5,54.1816792738929,17.0438270360477,172.241502024756,18.4564231563388,5.80580166942734,58.6722687272642,0.0541816792738929,0.0170438270360477,0.172241502024756,7675.26940621471,2414.39479114898,24399.3901386529,1,-3.61191841297781,-1.2837377727948
"magu","magu",NA,311869.2636,2,54.2590503767166,17.7984019071893,165.410611758007,18.4301050802967,6.04556134199528,56.1848195818114,0.0542590503767166,0.0177984019071893,0.165410611758007,16921.7300846219,5550.77449605197,51586.4856805953,1,-4.8283137373023,-0.257476230394715
"misungwi","misungwi",NA,373019.8663,3,55.3451132925807,18.1421562279364,168.83779011074,18.0684425508992,5.92284463889336,55.1202397022763,0.0553451132925807,0.0181421562279364,0.16883779011074,20644.8267607568,6767.38469053855,62979.8498934958,1,-4.8283137373023,-0.215671536475509
"kahama urban","kahama urban",NA,261972.1728,4,55.6894980319757,18.0968855826738,171.373144670963,17.9567070154919,5.83521999272407,55.2581268987751,0.0556894980319757,0.0180968855826738,0.171373144670963,14589.098801578,4740.88043700604,44894.9950690211,1,-4.26869794936688,-0.673344553263766
