"layer","cellID","Region","RegionID","District","DistrictID","Ward","WardID","Village","VillageID","VillCens","VillIDCens","PA","Urban"
1,32344,"Mtwara",4,"Mtwara Rural",23,"Naumbu",412,"Naumbu",2340,"Naumbu",1540,0,0
1,32345,"Mtwara",4,"Mtwara Rural",23,"Naumbu",412,"Naumbu",2340,"Naumbu",1540,0,0
1,32346,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32347,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32348,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32349,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32350,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32351,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32352,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32353,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32354,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32355,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32356,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32357,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32358,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32359,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32360,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32361,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32362,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32363,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32364,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32365,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32366,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32367,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32368,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32369,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,1,0
1,32370,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32371,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32372,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
1,32373,"Lindi",2,"Liwale",3,"Lilombe",357,"Chigugu",2667,"Chigugu",379,0,0
