"","Transmission","Mean","Median","Low_quant","High_quant","percent_median","percent_low","percent_high"
"1","CC",0.5552,0,0,2,0,0,0.4
"2","CD",4.0135,4,1,9,0.7,0.2,1.6
"3","CW",3.6847,3,0,8,0.5,0,1.5
"4","DC",4.1043,4,1,8,0.7,0.2,1.5
"5","DD",209.8047,210,193,226,38.4,35.3,41.3
"6","DW",85.2264,85,70,102,15.5,12.8,18.6
"7","WC",5.3405,5,2,9,0.9,0.4,1.6
"8","WD",89.1818,89,73,105,16.3,13.3,19.2
"9","WW",147.0889,147,130,163,26.9,23.8,29.8
