"","Transmission","Mean","Median","Low_quant","High_quant","percent_median","percent_low","percent_high"
"1","CC",0,0,0,0,0,0,0
"2","CD",1.3886,1,0,5,0.6,0,2.9
"3","CW",0.5529,0,0,3,0,0,1.8
"4","DC",0.6907,0,0,3,0,0,1.8
"5","DD",71.2965,71,56,87,41.5,32.7,50.9
"6","DW",19.0916,19,10,28,11.1,5.8,16.4
"7","WC",1.9664,2,0,5,1.2,0,2.9
"8","WD",23.1078,23,14,33,13.5,8.2,19.3
"9","WW",55.5417,55,41,71,32.2,24,41.5
