"","Transmission","Mean","Median","Low_quant","High_quant","percent_median","percent_low","percent_high"
"1","CC",0,0,0,0,0,0,0
"2","CD",1.1619,1,0,4,0.7,0,2.6
"3","CW",0.5758,0,0,3,0,0,2
"4","DC",0.62,0,0,3,0,0,2
"5","DD",54.7379,55,42,69,36.4,27.8,45.7
"6","DW",17.5457,17,9,27,11.3,6,17.9
"7","WC",1.9933,2,0,5,1.3,0,3.3
"8","WD",19.8632,20,11,29,13.2,7.3,19.2
"9","WW",56.1079,56,41,71,37.1,27.2,47
