"","Transmission","Mean","Median","Low_quant","High_quant","percent_median","percent_low","percent_high"
"1","CC",0,0,0,0,0,0,0
"2","CD",1.4945,1,0,5,0.5,0,2.7
"3","CW",0.5559,0,0,3,0,0,1.6
"4","DC",0.7394,0,0,3,0,0,1.6
"5","DD",82.4555,82,66,99,44.3,35.7,53.5
"6","DW",20.0286,20,12,30,10.8,6.5,16.2
"7","WC",1.9724,2,0,5,1.1,0,2.7
"8","WD",25.2161,25,15,36,13.5,8.1,19.5
"9","WW",55.2074,55,41,70,29.7,22.2,37.8
