"","Transmission","Mean","Median","Low_quant","High_quant","percent_median","percent_low","percent_high"
"1","CC",0,0,0,0,0,0,0
"2","CD",0.9369,1,0,3,0.8,0,2.3
"3","CW",0.5895,0,0,3,0,0,2.3
"4","DC",0.5397,0,0,3,0,0,2.3
"5","DD",39.3768,39,28,51,30,21.5,39.2
"6","DW",15.6344,15,8,25,11.5,6.2,19.2
"7","WC",2.0436,2,0,5,1.5,0,3.8
"8","WD",16.5115,16,9,25,12.3,6.9,19.2
"9","WW",56.6128,57,42,72,43.8,32.3,55.4
