"X","ID","Biter_ID","Freq","prop"
260,20,49,1,0.002
261,20,61,17191,34.382
262,20,62,28481,56.962
263,20,70,2988,5.976
264,20,88,126,0.252
265,20,457,3,0.006
266,20,461,5,0.01
267,21,1,13,0.026
268,21,2,75,0.15
269,21,3,6,0.012
270,21,4,181,0.362
271,21,6,1,0.002
272,21,7,4,0.008
273,21,8,26779,53.558
274,21,9,13823,27.646
275,21,11,1,0.002
276,21,12,1,0.002
277,21,18,30,0.06
278,21,20,6,0.012
279,21,22,57,0.114
280,21,23,31,0.062
281,21,25,81,0.162
282,21,26,97,0.194
283,21,27,1,0.002
284,21,31,1,0.002
285,21,42,4,0.008
286,21,43,2,0.004
287,21,44,1,0.002
288,21,45,7,0.014
289,21,46,133,0.266
290,21,47,20,0.04
291,21,50,1,0.002
292,21,55,1,0.002
293,21,57,147,0.294
294,21,60,1,0.002
295,21,61,129,0.258
296,21,62,74,0.148
297,21,63,143,0.286
298,21,64,15,0.03
299,21,65,1,0.002
300,21,89,8130,16.26
301,21,459,3,0.006
302,22,23,36171,72.342
303,22,24,10440,20.88
304,22,27,3204,6.408
305,22,35,1,0.002
306,22,36,4,0.008
307,22,37,2,0.004
308,22,38,1,0.002
309,22,39,1,0.002
310,22,40,4,0.008
311,22,49,16,0.032
312,22,65,156,0.312
313,23,16,1,0.002
314,23,17,1,0.002
315,23,24,31291,62.582
316,23,27,17997,35.994
317,23,34,15,0.03
318,23,35,9,0.018
319,23,36,8,0.016
320,23,37,15,0.03
321,23,38,6,0.012
322,23,39,12,0.024
323,23,40,19,0.038
324,23,41,21,0.042
325,23,49,60,0.12
326,23,65,545,1.09
327,24,23,18471,36.942
328,24,27,30882,61.764
329,24,34,53,0.106
330,24,35,33,0.066
331,24,36,36,0.072
332,24,37,36,0.072
333,24,38,26,0.052
334,24,39,45,0.09
335,24,40,74,0.148
336,24,41,72,0.144
337,24,49,12,0.024
338,24,65,259,0.518
339,24,90,1,0.002
340,18,4,8,0.016
341,18,8,128,0.256
342,18,9,93,0.186
343,18,11,9546,19.092
344,18,12,351,0.702
345,18,13,1543,3.086
346,18,14,2109,4.218
347,18,15,6740,13.48
348,18,16,2932,5.864
349,18,17,1312,2.624
350,18,19,734,1.468
351,18,20,7,0.014
352,18,22,3,0.006
353,18,23,6,0.012
354,18,24,13,0.026
355,18,25,125,0.25
356,18,26,162,0.324
357,18,27,2,0.004
358,18,28,168,0.336
359,18,29,4187,8.374
360,18,30,300,0.6
361,18,31,6670,13.34
362,18,32,1541,3.082
363,18,33,80,0.16
364,18,34,631,1.262
365,18,35,321,0.642
366,18,36,313,0.626
367,18,37,334,0.668
368,18,38,334,0.668
369,18,39,315,0.63
370,18,40,313,0.626
371,18,41,361,0.722
372,18,46,3,0.006
373,18,63,14,0.028
374,18,64,1,0.002
375,18,79,8,0.016
376,18,81,23,0.046
377,18,82,1,0.002
378,18,88,3313,6.626
379,18,145,2853,5.706
380,18,146,1,0.002
381,18,154,3,0.006
382,18,157,2,0.004
383,18,168,10,0.02
384,18,169,1,0.002
385,18,186,22,0.044
386,18,187,45,0.09
387,18,212,209,0.418
388,18,477,1803,3.606
389,18,479,6,0.012
390,19,12,2075,4.15
391,19,16,16181,32.362
392,19,17,29932,59.864
393,19,33,1767,3.534
394,19,66,1,0.002
395,19,149,1,0.002
396,19,155,6,0.012
397,19,460,4,0.008
398,19,481,33,0.066
399,25,1,128,0.256
400,25,3,35,0.07
401,25,6,16,0.032
402,25,7,107,0.214
403,25,11,3437,6.874
404,25,17,3,0.006
405,25,20,52,0.104
406,25,22,7901,15.802
407,25,23,6730,13.46
408,25,24,11214,22.428
409,25,27,6630,13.26
410,25,28,276,0.552
411,25,30,5526,11.052
412,25,32,85,0.17
413,25,34,6,0.012
414,25,35,4,0.008
415,25,36,3,0.006
416,25,37,5,0.01
417,25,38,3,0.006
418,25,39,7,0.014
419,25,40,6,0.012
420,25,41,3,0.006
421,25,42,174,0.348
422,25,43,277,0.554
423,25,44,41,0.082
424,25,50,1406,2.812
425,25,51,3694,7.388
426,25,61,300,0.6
427,25,62,223,0.446
428,25,65,242,0.484
429,25,66,3,0.006
430,25,67,2,0.004
431,25,69,90,0.18
432,25,75,169,0.338
433,25,78,4,0.008
434,25,79,135,0.27
435,25,81,799,1.598
436,25,82,4,0.008
437,25,85,2,0.004
438,25,88,257,0.514
439,25,172,1,0.002
440,26,11,1,0.002
441,26,23,1,0.002
442,26,25,49997,99.994
443,26,27,1,0.002
444,27,12,19,0.038
445,27,13,8,0.016
446,27,14,2,0.004
447,27,16,4,0.008
448,27,17,45,0.09
449,27,19,2,0.004
450,27,33,5,0.01
451,27,34,4984,9.968
452,27,35,3696,7.392
453,27,36,3673,7.346
454,27,37,3944,7.888
455,27,38,3831,7.662
456,27,39,3955,7.91
457,27,65,25695,51.39
458,27,66,48,0.096
459,27,71,1,0.002
460,27,74,12,0.024
461,27,84,15,0.03
462,27,86,14,0.028
463,27,90,47,0.094
464,28,13,8,0.016
465,28,14,5,0.01
466,28,15,70,0.14
467,28,16,3,0.006
468,28,17,23,0.046
469,28,19,8,0.016
470,28,22,325,0.65
471,28,23,146,0.292
472,28,24,1542,3.084
473,28,27,811,1.622
474,28,33,42,0.084
475,28,34,2975,5.95
476,28,35,1919,3.838
477,28,36,1923,3.846
478,28,37,2081,4.162
479,28,38,1951,3.902
480,28,39,2038,4.076
481,28,40,2710,5.42
482,28,41,2850,5.7
483,28,65,2,0.004
484,28,66,2,0.004
485,28,67,70,0.14
486,28,71,2,0.004
487,28,72,2,0.004
488,28,74,2,0.004
489,28,76,1,0.002
490,28,84,1,0.002
491,28,86,7,0.014
492,28,88,28470,56.94
493,28,173,6,0.012
494,28,479,5,0.01
495,29,11,20,0.04
496,29,14,1,0.002
497,29,19,1,0.002
498,29,20,1,0.002
499,29,25,381,0.762
500,29,26,1259,2.518
501,29,28,142,0.284
502,29,30,43377,86.754
503,29,32,1299,2.598
504,29,33,18,0.036
505,29,34,99,0.198
506,29,35,99,0.198
507,29,36,106,0.212
508,29,37,111,0.222
509,29,38,82,0.164
510,29,39,117,0.234
511,29,40,124,0.248
512,29,41,108,0.216
513,29,63,319,0.638
514,29,64,54,0.108
515,29,75,2,0.004
516,29,78,1,0.002
517,29,79,249,0.498
518,29,81,1903,3.806
519,29,82,18,0.036
520,29,83,1,0.002
521,29,85,5,0.01
522,29,86,1,0.002
523,29,88,100,0.2
524,29,167,2,0.004
525,30,11,1,0.002
526,30,19,2,0.004
527,30,25,169,0.338
528,30,28,8,0.016
529,30,32,191,0.382
530,30,33,1,0.002
531,30,34,13,0.026
532,30,35,11,0.022
533,30,36,10,0.02
534,30,37,13,0.026
535,30,38,9,0.018
536,30,39,16,0.032
537,30,40,10,0.02
538,30,41,16,0.032
539,30,68,24,0.048
540,30,71,1,0.002
541,30,75,32,0.064
542,30,78,2,0.004
543,30,79,508,1.016
544,30,81,48635,97.27
545,30,82,130,0.26
546,30,83,34,0.068
547,30,85,37,0.074
548,30,86,1,0.002
549,30,88,13,0.026
550,30,146,19,0.038
