"","Transmission","Mean","Median","Low_quant","High_quant","percent_median","percent_low","percent_high"
"1","CC",0.5778,0,0,2,0,0,0.4
"2","CD",3.3144,3,0,7,0.6,0,1.5
"3","CW",4.0693,4,0,9,0.8,0,1.9
"4","DC",3.8214,4,1,7,0.8,0.2,1.5
"5","DD",148.7184,149,134,163,31.5,28.3,34.5
"6","DW",76.9612,77,61,93,16.3,12.9,19.7
"7","WC",5.6008,6,2,9,1.3,0.4,1.9
"8","WD",74.9672,75,62,89,15.9,13.1,18.8
"9","WW",154.9695,155,138,171,32.8,29.2,36.2
