"layer","cellID","District","DistrictID","Village","VillageID"
1,863,"Ngorongoro",1,"Losoito/Maalon",37
1,864,"Ngorongoro",1,"Losoito/Maalon",37
1,865,"Ngorongoro",1,"Losoito/Maalon",37
1,866,"Ngorongoro",1,"Losoito/Maalon",37
1,867,"Ngorongoro",1,"Losoito/Maalon",37
1,868,"Ngorongoro",1,"Losoito/Maalon",37
1,869,"Ngorongoro",1,"Losoito/Maalon",37
1,870,"Ngorongoro",1,"Losoito/Maalon",37
1,871,"Ngorongoro",1,"Losoito/Maalon",37
1,872,"Ngorongoro",1,"Losoito/Maalon",37
1,873,"Ngorongoro",1,"Losoito/Maalon",37
1,874,"Ngorongoro",1,"Losoito/Maalon",37
1,875,"Ngorongoro",1,"Losoito/Maalon",37
1,876,"Ngorongoro",1,"Losoito/Maalon",37
1,877,"Ngorongoro",1,"Losoito/Maalon",37
1,878,"Ngorongoro",1,"Losoito/Maalon",37
1,879,"Ngorongoro",1,"Losoito/Maalon",37
1,880,"Ngorongoro",1,"Losoito/Maalon",37
1,881,"Ngorongoro",1,"Losoito/Maalon",37
1,882,"Ngorongoro",1,"Losoito/Maalon",37
1,883,"Ngorongoro",1,"Sale",11
1,884,"Ngorongoro",1,"Sale",11
1,885,"Ngorongoro",1,"Sale",11
1,886,"Ngorongoro",1,"Sale",11
1,887,"Ngorongoro",1,"Sale",11
1,888,"Ngorongoro",1,"Digodigo",6
1,889,"Ngorongoro",1,"Pinyinyi",9
1,890,"Ngorongoro",1,"Pinyinyi",9
1,891,"Ngorongoro",1,"Pinyinyi",9
1,892,"Ngorongoro",1,"Pinyinyi",9
1,893,"Ngorongoro",1,"Pinyinyi",9
1,894,"Ngorongoro",1,"Pinyinyi",9
1,895,"Ngorongoro",1,"Pinyinyi",9
1,896,"Ngorongoro",1,"Pinyinyi",9
1,897,"Ngorongoro",1,"Pinyinyi",9
1,898,"Ngorongoro",1,"Pinyinyi",9
1,899,"Ngorongoro",1,"Pinyinyi",9
1,900,"Ngorongoro",1,"Pinyinyi",9
1,901,"Ngorongoro",1,"Pinyinyi",9
1,902,"Ngorongoro",1,"Pinyinyi",9
1,903,"Ngorongoro",1,"Pinyinyi",9
1,904,"Ngorongoro",1,"Losoito/Maalon",37
1,905,"Ngorongoro",1,"Losoito/Maalon",37
1,906,"Ngorongoro",1,"Losoito/Maalon",37
1,907,"Ngorongoro",1,"Losoito/Maalon",37
1,908,"Ngorongoro",1,"Losoito/Maalon",37
1,909,"Ngorongoro",1,"Losoito/Maalon",37
1,910,"Ngorongoro",1,"Losoito/Maalon",37
1,911,"Ngorongoro",1,"Losoito/Maalon",37
1,912,"Ngorongoro",1,"Losoito/Maalon",37
1,913,"Ngorongoro",1,"Losoito/Maalon",37
1,914,"Ngorongoro",1,"Losoito/Maalon",37
1,915,"Ngorongoro",1,"Losoito/Maalon",37
1,916,"Ngorongoro",1,"Losoito/Maalon",37
1,917,"Ngorongoro",1,"Losoito/Maalon",37
1,918,"Ngorongoro",1,"Losoito/Maalon",37
1,919,"Ngorongoro",1,"Losoito/Maalon",37
1,920,"Ngorongoro",1,"Losoito/Maalon",37
1,921,"Ngorongoro",1,"Losoito/Maalon",37
1,922,"Ngorongoro",1,"Losoito/Maalon",37
1,923,"Ngorongoro",1,"Losoito/Maalon",37
1,924,"Ngorongoro",1,"Losoito/Maalon",37
1,925,"Ngorongoro",1,"Losoito/Maalon",37
1,926,"Ngorongoro",1,"Losoito/Maalon",37
1,927,"Ngorongoro",1,"Sale",11
1,928,"Ngorongoro",1,"Sale",11
1,929,"Ngorongoro",1,"Sale",11
1,930,"Ngorongoro",1,"Sale",11
1,931,"Ngorongoro",1,"Sale",11
1,932,"Ngorongoro",1,"Pinyinyi",9
1,933,"Ngorongoro",1,"Pinyinyi",9
1,934,"Ngorongoro",1,"Pinyinyi",9
1,935,"Ngorongoro",1,"Pinyinyi",9
1,936,"Ngorongoro",1,"Pinyinyi",9
1,937,"Ngorongoro",1,"Pinyinyi",9
1,938,"Ngorongoro",1,"Pinyinyi",9
1,939,"Ngorongoro",1,"Pinyinyi",9
1,940,"Ngorongoro",1,"Pinyinyi",9
1,941,"Ngorongoro",1,"Pinyinyi",9
1,942,"Ngorongoro",1,"Pinyinyi",9
1,943,"Ngorongoro",1,"Pinyinyi",9
1,944,"Ngorongoro",1,"Pinyinyi",9
1,945,"Ngorongoro",1,"Pinyinyi",9
1,946,"Ngorongoro",1,"Pinyinyi",9
1,947,"Ngorongoro",1,"Losoito/Maalon",37
1,948,"Ngorongoro",1,"Losoito/Maalon",37
1,949,"Ngorongoro",1,"Losoito/Maalon",37
1,950,"Ngorongoro",1,"Losoito/Maalon",37
1,951,"Ngorongoro",1,"Losoito/Maalon",37
1,952,"Ngorongoro",1,"Losoito/Maalon",37
1,953,"Ngorongoro",1,"Losoito/Maalon",37
1,954,"Ngorongoro",1,"Losoito/Maalon",37
1,955,"Ngorongoro",1,"Losoito/Maalon",37
1,956,"Ngorongoro",1,"Losoito/Maalon",37
1,957,"Ngorongoro",1,"Losoito/Maalon",37
1,958,"Ngorongoro",1,"Losoito/Maalon",37
1,959,"Ngorongoro",1,"Losoito/Maalon",37
1,960,"Ngorongoro",1,"Losoito/Maalon",37
1,961,"Ngorongoro",1,"Losoito/Maalon",37
1,962,"Ngorongoro",1,"Losoito/Maalon",37
1,963,"Ngorongoro",1,"Losoito/Maalon",37
1,964,"Ngorongoro",1,"Losoito/Maalon",37
1,965,"Ngorongoro",1,"Losoito/Maalon",37
1,966,"Ngorongoro",1,"Losoito/Maalon",37
1,967,"Ngorongoro",1,"Losoito/Maalon",37
1,968,"Ngorongoro",1,"Losoito/Maalon",37
1,969,"Ngorongoro",1,"Losoito/Maalon",37
1,970,"Ngorongoro",1,"Sale",11
1,971,"Ngorongoro",1,"Sale",11
1,972,"Ngorongoro",1,"Sale",11
1,973,"Ngorongoro",1,"Sale",11
1,974,"Ngorongoro",1,"Sale",11
1,975,"Ngorongoro",1,"Pinyinyi",9
1,976,"Ngorongoro",1,"Pinyinyi",9
1,977,"Ngorongoro",1,"Pinyinyi",9
1,978,"Ngorongoro",1,"Pinyinyi",9
1,979,"Ngorongoro",1,"Pinyinyi",9
1,980,"Ngorongoro",1,"Pinyinyi",9
1,981,"Ngorongoro",1,"Pinyinyi",9
1,982,"Ngorongoro",1,"Pinyinyi",9
1,983,"Ngorongoro",1,"Pinyinyi",9
1,984,"Ngorongoro",1,"Pinyinyi",9
1,985,"Ngorongoro",1,"Pinyinyi",9
1,986,"Ngorongoro",1,"Pinyinyi",9
1,987,"Ngorongoro",1,"Pinyinyi",9
1,988,"Ngorongoro",1,"Pinyinyi",9
1,989,"Ngorongoro",1,"Pinyinyi",9
1,990,"Ngorongoro",1,"Arash",29
1,991,"Ngorongoro",1,"Losoito/Maalon",37
1,992,"Ngorongoro",1,"Arash",29
1,993,"Ngorongoro",1,"Arash",29
1,994,"Ngorongoro",1,"Arash",29
1,995,"Ngorongoro",1,"Arash",29
1,996,"Ngorongoro",1,"Arash",29
1,997,"Ngorongoro",1,"Arash",29
1,998,"Ngorongoro",1,"Arash",29
1,999,"Ngorongoro",1,"Arash",29
1,1000,"Ngorongoro",1,"Arash",29
1,1001,"Ngorongoro",1,"Arash",29
1,1002,"Ngorongoro",1,"Arash",29
1,1003,"Ngorongoro",1,"Arash",29
1,1004,"Ngorongoro",1,"Arash",29
1,1005,"Ngorongoro",1,"Arash",29
1,1006,"Ngorongoro",1,"Losoito/Maalon",37
1,1007,"Ngorongoro",1,"Losoito/Maalon",37
1,1008,"Ngorongoro",1,"Losoito/Maalon",37
1,1009,"Ngorongoro",1,"Losoito/Maalon",37
1,1010,"Ngorongoro",1,"Losoito/Maalon",37
1,1011,"Ngorongoro",1,"Losoito/Maalon",37
1,1012,"Ngorongoro",1,"Sale",11
1,1013,"Ngorongoro",1,"Sale",11
1,1014,"Ngorongoro",1,"Sale",11
1,1015,"Ngorongoro",1,"Sale",11
1,1016,"Ngorongoro",1,"Sale",11
1,1017,"Ngorongoro",1,"Sale",11
1,1018,"Ngorongoro",1,"Pinyinyi",9
1,1019,"Ngorongoro",1,"Pinyinyi",9
1,1020,"Ngorongoro",1,"Pinyinyi",9
1,1021,"Ngorongoro",1,"Pinyinyi",9
1,1022,"Ngorongoro",1,"Pinyinyi",9
1,1023,"Ngorongoro",1,"Pinyinyi",9
1,1024,"Ngorongoro",1,"Pinyinyi",9
1,1025,"Ngorongoro",1,"Pinyinyi",9
1,1026,"Ngorongoro",1,"Pinyinyi",9
1,1027,"Ngorongoro",1,"Pinyinyi",9
1,1028,"Ngorongoro",1,"Pinyinyi",9
1,1029,"Ngorongoro",1,"Pinyinyi",9
1,1030,"Ngorongoro",1,"Pinyinyi",9
1,1031,"Ngorongoro",1,"Pinyinyi",9
1,1032,"Ngorongoro",1,"Pinyinyi",9
1,1033,"Ngorongoro",1,"Arash",29
1,1034,"Ngorongoro",1,"Arash",29
1,1035,"Ngorongoro",1,"Arash",29
1,1036,"Ngorongoro",1,"Arash",29
1,1037,"Ngorongoro",1,"Arash",29
1,1038,"Ngorongoro",1,"Arash",29
1,1039,"Ngorongoro",1,"Arash",29
1,1040,"Ngorongoro",1,"Arash",29
1,1041,"Ngorongoro",1,"Arash",29
1,1042,"Ngorongoro",1,"Arash",29
1,1043,"Ngorongoro",1,"Arash",29
1,1044,"Ngorongoro",1,"Arash",29
1,1045,"Ngorongoro",1,"Arash",29
1,1046,"Ngorongoro",1,"Arash",29
1,1047,"Ngorongoro",1,"Arash",29
1,1048,"Ngorongoro",1,"Arash",29
1,1049,"Ngorongoro",1,"Arash",29
1,1050,"Ngorongoro",1,"Losoito/Maalon",37
1,1051,"Ngorongoro",1,"Losoito/Maalon",37
1,1052,"Ngorongoro",1,"Losoito/Maalon",37
1,1053,"Ngorongoro",1,"Losoito/Maalon",37
1,1054,"Ngorongoro",1,"Losoito/Maalon",37
1,1055,"Ngorongoro",1,"Sale",11
1,1056,"Ngorongoro",1,"Sale",11
1,1057,"Ngorongoro",1,"Sale",11
1,1058,"Ngorongoro",1,"Sale",11
1,1059,"Ngorongoro",1,"Sale",11
1,1060,"Ngorongoro",1,"Sale",11
1,1061,"Ngorongoro",1,"Pinyinyi",9
1,1062,"Ngorongoro",1,"Pinyinyi",9
