"ID","biter_ID","ID_species","Biter_species","ID_Time_diff","Biter_Time_diff","ID_lat","ID_long","Biter_lat","Biter_long","Year","ID_accuracy","Biter_accuracy","Serial_Int","Bite_dist","Species_trans"
334,304,2,1,1261,1179,NA,NA,NA,NA,2014,28,7,82,10483.8712055636,"DW"
294,334,4,2,1272,1261,NA,NA,NA,NA,2014,0,28,11,17508.2104990712,"WC"
241,235,2,2,1205,776,NA,NA,NA,NA,2013,7,7,429,263.789207018106,"WW"
291,284,4,2,912,896,NA,NA,NA,NA,2013,28,7,16,14188.153251169,"WC"
246,250,2,2,111,45,NA,NA,NA,NA,2011,7,7,66,196.680002417214,"WW"
252,251,4,4,583,247,NA,NA,NA,NA,2011,7,7,336,192.975387060657,"CC"
254,255,2,2,1952,1952,NA,NA,NA,NA,2016,7,7,0,3852.76300413036,"WW"
245,248,2,2,1645,1534,NA,NA,NA,NA,2015,7,7,111,14126.0167001395,"WW"
279,277,2,1,139,118,NA,NA,NA,NA,2011,7,7,21,3178.67059592405,"DW"
249,241,2,2,1230,1205,NA,NA,NA,NA,2014,7,7,25,9782.80832344905,"WW"
269,270,1,1,595,519,NA,NA,NA,NA,2012,7,7,76,607.602349991219,"DD"
240,239,2,2,1414,1261,NA,NA,NA,NA,2014,28,7,153,397.531401969583,"WW"
244,245,2,2,1655,1645,NA,NA,NA,NA,2015,7,7,10,316.874890052337,"WW"
278,277,2,1,1023,118,NA,NA,NA,NA,2011,7,7,905,255.63404618427,"DW"
268,283,2,1,309,219,NA,NA,NA,NA,2011,7,7,90,588.419280401107,"DW"
235,247,2,1,776,659,NA,NA,NA,NA,2012,7,7,117,9623.36608207724,"DW"
260,269,2,1,896,595,NA,NA,NA,NA,2012,7,7,301,6499.37478354825,"DW"
270,282,1,2,519,366,NA,NA,NA,NA,2012,7,7,153,4461.08587089379,"WD"
251,283,4,1,247,219,NA,NA,NA,NA,2011,7,7,28,15647.4076646471,"Dc"
243,244,2,2,1718,1655,NA,NA,NA,NA,2015,7,7,63,353.628891554326,"WW"
283,262,1,2,219,119,NA,NA,NA,NA,2011,7,7,100,2925.37814718927,"WD"
277,275,1,1,118,111,NA,NA,NA,NA,2011,7,7,7,1399.31919917499,"DD"
280,256,2,2,364,354,NA,NA,NA,NA,2011,7,7,10,8986.039795983,"WW"
285,284,2,2,1261,896,NA,NA,NA,NA,2013,14,7,365,4887.55571673155,"WW"
273,272,1,1,1195,1167,NA,NA,NA,NA,2014,7,7,28,2228.33393931227,"DD"
288,289,1,1,544,544,NA,NA,NA,NA,2012,7,7,0,1362.82577307901,"DD"
232,262,1,2,178,119,NA,NA,NA,NA,2011,7,7,59,38383.1253889441,"WD"
265,301,2,1,1018,996,NA,NA,NA,NA,2013,14,7,22,11078.4352371517,"DW"
174,179,2,1,1081,1049,NA,NA,NA,NA,2013,7,7,32,18606.2220584557,"DW"
264,266,2,1,116,114,NA,NA,NA,NA,2011,7,7,2,14293.9854745099,"DW"
239,241,2,2,1261,1205,NA,NA,NA,NA,2014,7,7,56,190.354438791716,"WW"
248,240,2,2,1534,1414,NA,NA,NA,NA,2014,7,28,120,7289.94536808415,"WW"
258,257,2,2,546,531,NA,NA,NA,NA,2012,28,7,15,460.167426082094,"WW"
290,289,1,1,547,544,NA,NA,NA,NA,2012,7,7,3,475.667825833612,"DD"
151,160,2,2,92,73,NA,NA,NA,NA,2011,7,7,19,9800.61989122601,"WW"
225,219,1,2,236,221,NA,NA,NA,NA,2011,7,7,15,5621.87029575468,"WD"
224,223,1,1,850,835,NA,NA,NA,NA,2013,7,7,15,3861.45601481053,"DD"
