"","Transmission","Mean","Median","Low_quant","High_quant","percent_median","percent_low","percent_high"
"1","CC",0.5638,0,0,2,0,0,0.4
"2","CD",3.7511,4,0,8,0.8,0,1.5
"3","CW",3.8047,4,0,9,0.8,0,1.7
"4","DC",3.9956,4,1,8,0.8,0.2,1.5
"5","DD",185.6043,186,170,201,35.8,32.8,38.7
"6","DW",82.3111,82,67,99,15.8,12.9,19.1
"7","WC",5.4406,5,2,9,1,0.4,1.7
"8","WD",83.6446,84,69,99,16.2,13.3,19.1
"9","WW",149.8842,150,133,166,28.9,25.6,32
