"","Transmission","Mean","Median","Low_quant","High_quant","percent_median","percent_low","percent_high"
"1","CC",0.5804,0,0,2,0,0,0.5
"2","CD",2.8812,3,0,7,0.7,0,1.6
"3","CW",4.3032,4,1,9,0.9,0.2,2.1
"4","DC",3.595,4,1,7,0.9,0.2,1.6
"5","DD",113.4101,113,100,126,26.4,23.4,29.4
"6","DW",70.5086,71,55,86,16.6,12.9,20.1
"7","WC",5.8246,6,2,9,1.4,0.5,2.1
"8","WD",65.7087,66,53,78,15.4,12.4,18.2
"9","WW",161.1882,161,145,177,37.6,33.9,41.4
